                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.83132,                0.51279,                 1.0374,                 0.9132,                0.99259,                0.91263,                0.69799,                0.89809,                0.48796,                 1.1326,              0.0003566,              0.0003566,              0.0003566
                     85,                0.81566,                0.49342,                 1.0308,                0.91278,                0.98742,                0.92226,                0.70814,                0.89735,                0.47948,                 1.1285,              0.0003368,              0.0003368,              0.0003368
                     86,                0.81682,                0.49883,                   1.05,                0.90738,                0.98742,                0.92085,                0.71455,                 0.8802,                0.48379,                 1.1116,               0.000317,               0.000317,               0.000317
                     87,                0.77557,                 0.4907,                 1.0214,                0.90718,                0.98742,                0.90936,                0.71327,                0.87657,                0.48445,                 1.1033,              0.0002972,              0.0002972,              0.0002972
                     88,                0.80794,                0.49162,                 1.0479,                0.90225,                0.98691,                 0.9104,                0.71328,                0.87502,                0.48819,                 1.1124,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82728,                0.51369,                 1.0321,                0.90401,                0.98742,                0.91901,                0.70531,                0.87937,                0.47453,                 1.1138,              0.0002576,              0.0002576,              0.0002576
                     90,                0.81669,                0.48566,                 1.0323,                0.90683,                0.98742,                0.91541,                 0.6975,                0.87802,                0.47092,                 1.1096,              0.0002378,              0.0002378,              0.0002378
                     91,                0.82949,                0.48059,                  1.044,                0.90706,                0.98742,                0.93181,                0.69221,                0.92689,                0.48018,                 1.1475,               0.000218,               0.000218,               0.000218
                     92,                 0.8004,                0.47018,                 1.0487,                0.90681,                0.98742,                0.91635,                0.70514,                0.89292,                0.47549,                 1.1092,              0.0001982,              0.0001982,              0.0001982
                     93,                0.80556,                0.50583,                 1.0402,                0.90618,                0.98742,                0.91129,                0.70026,                 0.8939,                0.47921,                 1.1172,              0.0001784,              0.0001784,              0.0001784
                     94,                0.78956,                0.49278,                 1.0402,                 0.9066,                0.98742,                0.90852,                 0.7099,                0.88462,                0.46999,                 1.1038,              0.0001586,              0.0001586,              0.0001586
                     95,                0.80492,                0.48466,                 1.0312,                0.90736,                 0.9856,                0.92313,                0.70494,                0.91272,                0.47638,                 1.1302,              0.0001388,              0.0001388,              0.0001388
                     96,                0.77973,                0.45209,                 1.0256,                0.90168,                0.98742,                0.91733,                0.70823,                0.88148,                 0.4739,                 1.1101,               0.000119,               0.000119,               0.000119
                     97,                0.76292,                0.45917,                 1.0314,                0.90748,                0.98698,                0.91541,                0.70755,                0.88463,                0.47146,                 1.1149,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.75332,                0.46268,                 1.0112,                0.90634,                0.98742,                0.91921,                 0.7073,                0.88963,                0.46777,                 1.1206,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.78897,                0.46575,                 1.0236,                 0.9064,                0.98742,                0.91738,                 0.7097,                0.88527,                0.46603,                 1.1142,               5.96e-05,               5.96e-05,               5.96e-05
